,brewery_id,breweries,address1,address2,city,STATE,code,country,phone,website,filepath,descript,last_mod,coordinates,id,abv,name,state
57,677,HopTown Brewing,3015-D Hopyard Road,,Pleasanton,California,94588,United States,1-925-426-1450,,,,2010-07-22T16:00:20-04:00,"37.677, -121.898",297,0.0,Golden Ale,CA
62,765,Lagunitas Brewing Company,1280 North McDowell Boulevard,,Petaluma,California,94954,United States,1-707-769-4495,http://www.lagunitas.com/,,,2010-07-22T16:00:20-04:00,"38.2724, -122.662",201,9.28,Undercover Investigation Shut-Down Ale,CA
64,823,Manayunk Brewery and Restaurant,4120 Main Street,,Philadelphia,Pennsylvania,19127,United States,1-215-482-8220,http://www.manayunkbrewery.com/,,,2010-07-22T16:00:20-04:00,"40.0236, -75.2202",942,6.0,Schuylkill Punch,PA
65,823,Manayunk Brewery and Restaurant,4120 Main Street,,Philadelphia,Pennsylvania,19127,United States,1-215-482-8220,http://www.manayunkbrewery.com/,,,2010-07-22T16:00:20-04:00,"40.0236, -75.2202",943,12.7,Nokdechiloff,PA
66,823,Manayunk Brewery and Restaurant,4120 Main Street,,Philadelphia,Pennsylvania,19127,United States,1-215-482-8220,http://www.manayunkbrewery.com/,,,2010-07-22T16:00:20-04:00,"40.0236, -75.2202",944,8.0,California Dreaming,PA
67,823,Manayunk Brewery and Restaurant,4120 Main Street,,Philadelphia,Pennsylvania,19127,United States,1-215-482-8220,http://www.manayunkbrewery.com/,,,2010-07-22T16:00:20-04:00,"40.0236, -75.2202",945,6.4,Manayunk Lager,PA
68,823,Manayunk Brewery and Restaurant,4120 Main Street,,Philadelphia,Pennsylvania,19127,United States,1-215-482-8220,http://www.manayunkbrewery.com/,,,2010-07-22T16:00:20-04:00,"40.0236, -75.2202",946,5.1,Brilliant Barstool,PA
69,823,Manayunk Brewery and Restaurant,4120 Main Street,,Philadelphia,Pennsylvania,19127,United States,1-215-482-8220,http://www.manayunkbrewery.com/,,,2010-07-22T16:00:20-04:00,"40.0236, -75.2202",947,5.3,Krooks Mill,PA
70,823,Manayunk Brewery and Restaurant,4120 Main Street,,Philadelphia,Pennsylvania,19127,United States,1-215-482-8220,http://www.manayunkbrewery.com/,,,2010-07-22T16:00:20-04:00,"40.0236, -75.2202",948,5.0,Summer Gold,PA
71,823,Manayunk Brewery and Restaurant,4120 Main Street,,Philadelphia,Pennsylvania,19127,United States,1-215-482-8220,http://www.manayunkbrewery.com/,,,2010-07-22T16:00:20-04:00,"40.0236, -75.2202",949,4.7,Bohemian Blonde,PA
72,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"41.1339, -96.0307",46,0.0,Porter,NE
73,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"41.1339, -96.0307",47,0.0,Cardinal Pale Ale,NE
74,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"41.1339, -96.0307",53,0.0,Red Sled Winter Ale,NE
75,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"41.1339, -96.0307",96,0.0,Brunette Nut Brown Ale,NE
76,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"41.1339, -96.0307",97,0.0,Irish Red,NE
77,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"41.1339, -96.0307",98,0.0,Belgian Wit,NE
78,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"41.1339, -96.0307",99,0.0,EOS Hefeweizen,NE
79,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"41.1339, -96.0307",100,0.0,India Pale Ale,NE
80,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"37.244, -107.879",46,0.0,Porter,NE
81,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"37.244, -107.879",47,0.0,Cardinal Pale Ale,NE
82,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"37.244, -107.879",53,0.0,Red Sled Winter Ale,NE
83,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"37.244, -107.879",96,0.0,Brunette Nut Brown Ale,NE
84,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"37.244, -107.879",97,0.0,Irish Red,NE
85,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"37.244, -107.879",98,0.0,Belgian Wit,NE
86,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"37.244, -107.879",99,0.0,EOS Hefeweizen,NE
87,901,Nebraska Brewing Company,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,,,2010-07-22T16:00:20-04:00,"37.244, -107.879",100,0.0,India Pale Ale,NE
93,1126,Seabright Brewery,519 Seabright Avenue #107,,Santa Cruz,California,95062,United States,1-408-426-2739,,,,2010-07-22T16:00:20-04:00,"36.9676, -122.008",267,0.0,Leroy Barleywine,CA
94,1126,Seabright Brewery,519 Seabright Avenue #107,,Santa Cruz,California,95062,United States,1-408-426-2739,,,,2010-07-22T16:00:20-04:00,"36.9676, -122.008",268,6.0,Oatmeal Stout,CA
95,1126,Seabright Brewery,519 Seabright Avenue #107,,Santa Cruz,California,95062,United States,1-408-426-2739,,,,2010-07-22T16:00:20-04:00,"36.9676, -122.008",269,5.0,Amber,CA
96,1126,Seabright Brewery,519 Seabright Avenue #107,,Santa Cruz,California,95062,United States,1-408-426-2739,,,,2010-07-22T16:00:20-04:00,"36.9676, -122.008",270,0.0,Blur IPA,CA
97,1126,Seabright Brewery,519 Seabright Avenue #107,,Santa Cruz,California,95062,United States,1-408-426-2739,,,,2010-07-22T16:00:20-04:00,"36.9676, -122.008",271,5.0,Pelican Pale,CA
98,1126,Seabright Brewery,519 Seabright Avenue #107,,Santa Cruz,California,95062,United States,1-408-426-2739,,,,2010-07-22T16:00:20-04:00,"36.9676, -122.008",272,0.0,Brew Ribbon,CA
99,1177,Speakeasy Ales and Lagers,1195-A Evans Avenue,,San Francisco,California,94124,United States,1-415-642-3371,,,,2010-07-22T16:00:20-04:00,"37.7387, -122.381",398,10.2,Old Godfather,CA
100,1177,Speakeasy Ales and Lagers,1195-A Evans Avenue,,San Francisco,California,94124,United States,1-415-642-3371,,,,2010-07-22T16:00:20-04:00,"37.7387, -122.381",808,9.5,Double Daddy,CA
101,1177,Speakeasy Ales and Lagers,1195-A Evans Avenue,,San Francisco,California,94124,United States,1-415-642-3371,,,,2010-07-22T16:00:20-04:00,"37.7387, -122.381",900,5.5,Untouchable Pale Ale,CA
102,1177,Speakeasy Ales and Lagers,1195-A Evans Avenue,,San Francisco,California,94124,United States,1-415-642-3371,,,,2010-07-22T16:00:20-04:00,"37.7387, -122.381",917,6.5,Big Daddy IPA,CA
103,1179,Spoetzl Brewery,603 East Brewery Street,,Shiner,Texas,77984,United States,1-800-574-4637,http://www.shiner.com,,,2010-07-22T16:00:20-04:00,"29.426, -97.1607",236,5.4,Shiner Hefeweizen,TX
104,89,Bayern Brewing,1507 Montana Street,,Missoula,Montana,59801,United States,1-406-721-1482,,,,2010-07-22T16:00:20-04:00,"46.8726, -114.02",898,0.0,Hefeweizen,MT
105,89,Bayern Brewing,1507 Montana Street,,Missoula,Montana,59801,United States,1-406-721-1482,,,,2010-07-22T16:00:20-04:00,"46.8726, -114.02",899,0.0,Dancing Trout Ale,MT
106,123,Big Time Brewing,4133 University Way NE,,Seattle,Washington,98105,United States,1-206-545-4509,http://www.bigtimebrewery.com/,,"Big Time's brewery is a 14 barrel JV Northwest system consisting of a gas fired brew kettle, an infusion mash tun with mixer, a hot liquor back, a wort cooler, (5) 14 barrel fermenters, a diatomaceous earth filter, a bright beer tank, and (12) 7 bbl serving tanks.  We sell most of our beer at the pub but do wholesale a limited number of kegs to a few Seattle area taverns. We currently brew approximately 1,500 barrels of beer per year",2010-07-22T16:00:20-04:00,"47.6576, -122.313",673,8.0,Slam Dunkelweizen,WA
107,123,Big Time Brewing,4133 University Way NE,,Seattle,Washington,98105,United States,1-206-545-4509,http://www.bigtimebrewery.com/,,"Big Time's brewery is a 14 barrel JV Northwest system consisting of a gas fired brew kettle, an infusion mash tun with mixer, a hot liquor back, a wort cooler, (5) 14 barrel fermenters, a diatomaceous earth filter, a bright beer tank, and (12) 7 bbl serving tanks.  We sell most of our beer at the pub but do wholesale a limited number of kegs to a few Seattle area taverns. We currently brew approximately 1,500 barrels of beer per year",2010-07-22T16:00:20-04:00,"47.6576, -122.313",674,0.0,Trombipulator,WA
108,123,Big Time Brewing,4133 University Way NE,,Seattle,Washington,98105,United States,1-206-545-4509,http://www.bigtimebrewery.com/,,"Big Time's brewery is a 14 barrel JV Northwest system consisting of a gas fired brew kettle, an infusion mash tun with mixer, a hot liquor back, a wort cooler, (5) 14 barrel fermenters, a diatomaceous earth filter, a bright beer tank, and (12) 7 bbl serving tanks.  We sell most of our beer at the pub but do wholesale a limited number of kegs to a few Seattle area taverns. We currently brew approximately 1,500 barrels of beer per year",2010-07-22T16:00:20-04:00,"47.6576, -122.313",675,0.0,Faux Paddy Irish Ale,WA
109,123,Big Time Brewing,4133 University Way NE,,Seattle,Washington,98105,United States,1-206-545-4509,http://www.bigtimebrewery.com/,,"Big Time's brewery is a 14 barrel JV Northwest system consisting of a gas fired brew kettle, an infusion mash tun with mixer, a hot liquor back, a wort cooler, (5) 14 barrel fermenters, a diatomaceous earth filter, a bright beer tank, and (12) 7 bbl serving tanks.  We sell most of our beer at the pub but do wholesale a limited number of kegs to a few Seattle area taverns. We currently brew approximately 1,500 barrels of beer per year",2010-07-22T16:00:20-04:00,"47.6576, -122.313",676,0.0,Black Mulligan Dublin Stout,WA
110,123,Big Time Brewing,4133 University Way NE,,Seattle,Washington,98105,United States,1-206-545-4509,http://www.bigtimebrewery.com/,,"Big Time's brewery is a 14 barrel JV Northwest system consisting of a gas fired brew kettle, an infusion mash tun with mixer, a hot liquor back, a wort cooler, (5) 14 barrel fermenters, a diatomaceous earth filter, a bright beer tank, and (12) 7 bbl serving tanks.  We sell most of our beer at the pub but do wholesale a limited number of kegs to a few Seattle area taverns. We currently brew approximately 1,500 barrels of beer per year",2010-07-22T16:00:20-04:00,"47.6576, -122.313",677,0.0,Coal Creek Porter,WA
111,123,Big Time Brewing,4133 University Way NE,,Seattle,Washington,98105,United States,1-206-545-4509,http://www.bigtimebrewery.com/,,"Big Time's brewery is a 14 barrel JV Northwest system consisting of a gas fired brew kettle, an infusion mash tun with mixer, a hot liquor back, a wort cooler, (5) 14 barrel fermenters, a diatomaceous earth filter, a bright beer tank, and (12) 7 bbl serving tanks.  We sell most of our beer at the pub but do wholesale a limited number of kegs to a few Seattle area taverns. We currently brew approximately 1,500 barrels of beer per year",2010-07-22T16:00:20-04:00,"47.6576, -122.313",678,0.0,Atlas Amber Ale,WA
112,123,Big Time Brewing,4133 University Way NE,,Seattle,Washington,98105,United States,1-206-545-4509,http://www.bigtimebrewery.com/,,"Big Time's brewery is a 14 barrel JV Northwest system consisting of a gas fired brew kettle, an infusion mash tun with mixer, a hot liquor back, a wort cooler, (5) 14 barrel fermenters, a diatomaceous earth filter, a bright beer tank, and (12) 7 bbl serving tanks.  We sell most of our beer at the pub but do wholesale a limited number of kegs to a few Seattle area taverns. We currently brew approximately 1,500 barrels of beer per year",2010-07-22T16:00:20-04:00,"47.6576, -122.313",679,0.0,Prime Time Pale Ale,WA
113,123,Big Time Brewing,4133 University Way NE,,Seattle,Washington,98105,United States,1-206-545-4509,http://www.bigtimebrewery.com/,,"Big Time's brewery is a 14 barrel JV Northwest system consisting of a gas fired brew kettle, an infusion mash tun with mixer, a hot liquor back, a wort cooler, (5) 14 barrel fermenters, a diatomaceous earth filter, a bright beer tank, and (12) 7 bbl serving tanks.  We sell most of our beer at the pub but do wholesale a limited number of kegs to a few Seattle area taverns. We currently brew approximately 1,500 barrels of beer per year",2010-07-22T16:00:20-04:00,"47.6576, -122.313",680,0.0,Snow Melt Nitrogen Pale,WA
114,123,Big Time Brewing,4133 University Way NE,,Seattle,Washington,98105,United States,1-206-545-4509,http://www.bigtimebrewery.com/,,"Big Time's brewery is a 14 barrel JV Northwest system consisting of a gas fired brew kettle, an infusion mash tun with mixer, a hot liquor back, a wort cooler, (5) 14 barrel fermenters, a diatomaceous earth filter, a bright beer tank, and (12) 7 bbl serving tanks.  We sell most of our beer at the pub but do wholesale a limited number of kegs to a few Seattle area taverns. We currently brew approximately 1,500 barrels of beer per year",2010-07-22T16:00:20-04:00,"47.6576, -122.313",681,0.0,Old Rip Oatmeal Stout,WA
115,123,Big Time Brewing,4133 University Way NE,,Seattle,Washington,98105,United States,1-206-545-4509,http://www.bigtimebrewery.com/,,"Big Time's brewery is a 14 barrel JV Northwest system consisting of a gas fired brew kettle, an infusion mash tun with mixer, a hot liquor back, a wort cooler, (5) 14 barrel fermenters, a diatomaceous earth filter, a bright beer tank, and (12) 7 bbl serving tanks.  We sell most of our beer at the pub but do wholesale a limited number of kegs to a few Seattle area taverns. We currently brew approximately 1,500 barrels of beer per year",2010-07-22T16:00:20-04:00,"47.6576, -122.313",682,0.0,Scarlet Fire IPA,WA
116,130,Bison Brewing,2598 Telegraph Avenue,,Berkeley,California,94704,United States,1-510-841-7734,,,,2010-07-22T16:00:20-04:00,"37.8634, -122.259",122,6.8,Organic Gingerbread Ale,CA
117,130,Bison Brewing,2598 Telegraph Avenue,,Berkeley,California,94704,United States,1-510-841-7734,,,,2010-07-22T16:00:20-04:00,"37.8634, -122.259",132,9.5,Organic Barley Wine Ale 2005,CA
118,130,Bison Brewing,2598 Telegraph Avenue,,Berkeley,California,94704,United States,1-510-841-7734,,,,2010-07-22T16:00:20-04:00,"37.8634, -122.259",412,0.0,Organic Belgian Ale,CA
132,497,Elysian Brewing - TangleTown,2106 North 55th Street,,Seattle,Washington,98103,United States,1-206-547-5929,,,,2010-07-22T16:00:20-04:00,"47.6688, -122.334",685,3.8,Warminster Special Bitter,WA
133,497,Elysian Brewing - TangleTown,2106 North 55th Street,,Seattle,Washington,98103,United States,1-206-547-5929,,,,2010-07-22T16:00:20-04:00,"47.6688, -122.334",686,6.0,AK-47 Malt Liquor,WA
134,497,Elysian Brewing - TangleTown,2106 North 55th Street,,Seattle,Washington,98103,United States,1-206-547-5929,,,,2010-07-22T16:00:20-04:00,"47.6688, -122.334",687,4.0,Foster Child Australian Lager,WA
137,907,New Glarus Brewing Company,2400 State Highway 69,,New Glarus,Wisconsin,53574,United States,608-527-5850,http://www.newglarusbrewing.com/,,"The brewery is run by an enthusiastic couple, Daniel & Deb Carey, who have successfully combined business management and brewing professionalism. Our philosophy is based on individuality, cooperation and the employment of 100% natural ingredients to produce world -class, handcrafted beers for our friends in Wisconsin. Cheers!*  *From the New Glarus Brewing web site",2010-07-22T16:00:20-04:00,"42.8171, -89.6306",837,0.0,Smoked Rye Bock,WI
138,1003,Platte Valley Brewing,14 East Railroad,,Kearney,Nebraska,68847,United States,1-308-237-0751,,,,2010-07-22T16:00:20-04:00,"40.6954, -99.0812",860,0.0,Stout,NE
139,1011,Porterhouse Restaurant and Brewpub,5775 Lower Mountain Road,,Lahaska,Pennsylvania,18931,United States,1-215-794-9373,,,,2010-07-22T16:00:20-04:00,"40.3341, -75.012",985,0.0,Irish Stout,PA
140,1011,Porterhouse Restaurant and Brewpub,5775 Lower Mountain Road,,Lahaska,Pennsylvania,18931,United States,1-215-794-9373,,,,2010-07-22T16:00:20-04:00,"40.3341, -75.012",986,0.0,Hop Hazard,PA
141,1011,Porterhouse Restaurant and Brewpub,5775 Lower Mountain Road,,Lahaska,Pennsylvania,18931,United States,1-215-794-9373,,,,2010-07-22T16:00:20-04:00,"40.3341, -75.012",987,0.0,Indian Red Ale,PA
142,1011,Porterhouse Restaurant and Brewpub,5775 Lower Mountain Road,,Lahaska,Pennsylvania,18931,United States,1-215-794-9373,,,,2010-07-22T16:00:20-04:00,"40.3341, -75.012",988,0.0,Lager,PA
143,1011,Porterhouse Restaurant and Brewpub,5775 Lower Mountain Road,,Lahaska,Pennsylvania,18931,United States,1-215-794-9373,,,,2010-07-22T16:00:20-04:00,"40.3341, -75.012",989,0.0,Special Ale,PA
144,1047,Red Lodge Ales,417 North Broadway,,Red Lodge,Montana,59068,United States,1-406-446-4607,,,,2010-07-22T16:00:20-04:00,"45.1913, -109.247",87,0.0,Glacier Ale,MT
145,1047,Red Lodge Ales,417 North Broadway,,Red Lodge,Montana,59068,United States,1-406-446-4607,,,,2010-07-22T16:00:20-04:00,"45.1913, -109.247",88,0.0,Bent Nail IPA,MT
146,1103,Sand Creek Brewing Company,320 Pierce St,,Black River Falls,Wisconsin,54615,United States,(715) 284-7553,http://www.sandcreekbrewing.com/,,,2010-07-22T16:00:20-04:00,"44.2929, -90.8511",936,0.0,Pioneer Black River Red,WI
148,1220,Summit Brewing,910 Montreal Circle,,Saint Paul,Minnesota,55102,United States,1-651-265-7800,http://www.summitbrewing.com/,,,2010-07-22T16:00:20-04:00,"44.9139, -93.1396",26,5.9,Winter Ale,MN
149,137,Blackstone Restaurant & Brewery,1918 West End Avenue,,Nashville,Tennessee,37203,United States,1-615-327-9969,,,,2010-07-22T16:00:20-04:00,"36.152, -86.7989",814,0.0,Nut Brown Ale,TN
150,137,Blackstone Restaurant & Brewery,1918 West End Avenue,,Nashville,Tennessee,37203,United States,1-615-327-9969,,,,2010-07-22T16:00:20-04:00,"36.152, -86.7989",815,0.0,Chaser Pale,TN
161,483,Egan Brewing,,,De Pere,Wisconsin,,United States,,,,,2010-07-22T16:00:20-04:00,"44.4489, -88.0604",20,8.7,Cow Palace Scotch Ale 1998,WI
163,622,Hair of the Dog Brewing,4509 SE 23rd Avenue,,Portland,Oregon,97202,United States,1-503-232-6585,,,,2010-07-22T16:00:20-04:00,"45.4901, -122.643",134,7.0,Blue Dot Double India Pale Ale,OR
164,622,Hair of the Dog Brewing,4509 SE 23rd Avenue,,Portland,Oregon,97202,United States,1-503-232-6585,,,,2010-07-22T16:00:20-04:00,"45.4901, -122.643",810,10.0,Fred,OR
165,622,Hair of the Dog Brewing,4509 SE 23rd Avenue,,Portland,Oregon,97202,United States,1-503-232-6585,,,,2010-07-22T16:00:20-04:00,"45.4901, -122.643",869,10.0,Adam,OR
